@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}

@data
1,'2025/11/18 23:23:49:365',1,0.275482,0.291789,0.208532,0.328219,0.296327,0.30407,0.364083,0.251964,0.385686,0.282549,0.402203,0.287432,0.510227,0.288869,0.575404,0.286961,0.636157,0.239169,0.388904,0.24547,0.460589,0.262019,0.382258,0.268794,0.325424,0.200223,0.361606,0.207169,0.405681,0.233016,0.320671,0.242375,0.267295,0.161748,0.323143,0,0,0.167622,0.371885,0.19495,0.318145,0.206883,1,?,?
2,'2025/11/18 23:23:49:464',1,0.276956,0.288701,0.211972,0.324597,0.300886,0.299495,0.369494,0.245975,0.390026,0.279511,0.403509,0.283576,0.512305,0.284558,0.577322,0.282503,0.638553,0.236116,0.390045,0.242113,0.463243,0.258102,0.38353,0.26456,0.325678,0.197104,0.362618,0.202463,0.407707,0.22876,0.322108,0.238559,0.268294,0.158687,0.324472,0,0,0.163595,0.372999,0.190837,0.31915,0.202774,1,?,?
3,'2025/11/18 23:23:49:566',1,0.278255,0.288273,0.207954,0.325319,0.296034,0.301228,0.364757,0.247818,0.384557,0.279901,0.402047,0.283769,0.509956,0.284628,0.575571,0.283058,0.636619,0.236405,0.389409,0.242887,0.462841,0.258468,0.383153,0.265209,0.324343,0.19718,0.362376,0.203229,0.406804,0.228398,0.321653,0.238025,0.267513,0.158725,0.32419,0,0,0.163555,0.371455,0.190371,0.318353,0.202117,1,?,?
4,'2025/11/18 23:23:49:725',1,0.27092,0.28768,0.205249,0.326048,0.293118,0.301249,0.360208,0.247595,0.380137,0.278421,0.4005,0.282479,0.508909,0.282767,0.574498,0.280941,0.635401,0.235051,0.38658,0.241534,0.459325,0.256966,0.377924,0.263326,0.317476,0.196368,0.358356,0.2018,0.400673,0.227811,0.316455,0.237948,0.264069,0.158293,0.319855,0,0,0.162212,0.367814,0.189426,0.314426,0.201827,1,?,?
5,'2025/11/18 23:23:49:828',1,0.24576,0.282594,0.192697,0.317608,0.279204,0.293475,0.344523,0.242809,0.358356,0.273392,0.389819,0.277043,0.498857,0.276379,0.564407,0.273738,0.624526,0.229104,0.375257,0.235335,0.443607,0.250468,0.36208,0.25894,0.30138,0.189767,0.347019,0.195791,0.383255,0.220443,0.299122,0.232885,0.244375,0.152149,0.308768,0,0,0.157398,0.347454,0.182109,0.293593,0.194968,1,?,?
6,'2025/11/18 23:23:49:997',1,0.213763,0.25713,0.168658,0.291222,0.261094,0.264779,0.32517,0.210307,0.336576,0.241657,0.367389,0.239508,0.48268,0.234557,0.549039,0.226763,0.610423,0.195776,0.349031,0.199759,0.416594,0.219046,0.328432,0.227786,0.266993,0.156878,0.318032,0.158891,0.35108,0.188335,0.26534,0.202102,0.214866,0.120621,0.277519,0,0,0.119889,0.312941,0.147983,0.256925,0.162502,1,?,?
7,'2025/11/18 23:23:50:112',1,0.190175,0.238607,0.150092,0.268114,0.243333,0.236202,0.303918,0.178986,0.316738,0.223916,0.344225,0.219831,0.463205,0.213639,0.533553,0.203663,0.595775,0.177155,0.320767,0.177011,0.390714,0.197168,0.296727,0.207611,0.234661,0.138487,0.286773,0.135147,0.325936,0.166991,0.237867,0.182608,0.187141,0.103442,0.245351,0,0,0.098191,0.287266,0.126804,0.231396,0.141363,1,?,?
8,'2025/11/18 23:23:50:199',1,0.190186,0.221814,0.139246,0.249262,0.236243,0.212568,0.301126,0.155467,0.314572,0.209715,0.332012,0.206098,0.452241,0.200592,0.522507,0.19259,0.585659,0.16256,0.309497,0.159027,0.387782,0.179719,0.300254,0.192874,0.23577,0.123178,0.277943,0.117081,0.322517,0.14896,0.236856,0.16517,0.184091,0.087834,0.238917,0,0,0.081345,0.284939,0.109878,0.227364,0.124534,1,?,?
9,'2025/11/18 23:23:50:327',1,0.202497,0.203612,0.145739,0.230127,0.238735,0.19273,0.302224,0.134792,0.310754,0.19215,0.336175,0.186902,0.460711,0.180826,0.529959,0.171884,0.592631,0.144879,0.315186,0.140084,0.390479,0.157086,0.298733,0.168719,0.237024,0.105008,0.285882,0.094224,0.332178,0.123191,0.245908,0.139514,0.192838,0.069497,0.247751,0,0,0.055509,0.29653,0.082202,0.242754,0.099196,1,?,?
10,'2025/11/18 23:23:50:430',1,0.213176,0.190831,0.146699,0.219567,0.243529,0.180468,0.310266,0.122861,0.32677,0.183661,0.34272,0.180236,0.464203,0.172386,0.53606,0.163893,0.599976,0.136037,0.325797,0.127442,0.403869,0.140644,0.316407,0.153525,0.252274,0.09496,0.299627,0.08028,0.340707,0.106218,0.255051,0.124157,0.201886,0.057618,0.265516,0,0,0.042417,0.307423,0.067281,0.251526,0.085679,1,?,?
