@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2025/11/15 19:21:56:539',1,0.272789,0.190697,0.335849,0.249042,0.354803,0.330938,0.396394,0.284488,0.409677,0.303248,0.474982,0.317671,0.584976,0.324227,0.651711,0.324929,0.714417,0.251149,0.464375,0.230735,0.589786,0.220685,0.672059,0.207122,0.741277,0.210785,0.420233,0.202883,0.493796,0.250612,0.421123,0.280239,0.36346,0.181533,0.353842,0,0,0.199032,0.398307,0.240677,0.353966,0.338237,1
2,'2025/11/15 19:21:56:547',1,0.273417,0.1924,0.336336,0.248124,0.355778,0.331887,0.397623,0.285279,0.412991,0.304003,0.476263,0.318256,0.586136,0.324036,0.652975,0.324084,0.714696,0.250909,0.465998,0.229553,0.591263,0.219485,0.674055,0.205821,0.743026,0.20987,0.42159,0.201389,0.493863,0.250063,0.422793,0.280156,0.36564,0.179912,0.354428,0,0,0.19854,0.399862,0.240745,0.355735,0.337211,1
3,'2025/11/15 19:21:56:603',1,0.271875,0.192018,0.336145,0.246028,0.355488,0.33339,0.394006,0.287421,0.413508,0.301982,0.475696,0.31626,0.585485,0.322519,0.652344,0.323649,0.715259,0.249498,0.46635,0.227913,0.591771,0.217986,0.673786,0.204755,0.743177,0.209071,0.422004,0.200891,0.494088,0.249032,0.422036,0.279032,0.364095,0.179645,0.354713,0,0,0.197403,0.401062,0.239278,0.356639,0.332999,1
4,'2025/11/15 19:21:56:609',1,0.268733,0.190525,0.333687,0.24691,0.354505,0.331725,0.394853,0.287853,0.414734,0.300496,0.474068,0.315498,0.584842,0.321789,0.652176,0.322617,0.715296,0.247821,0.463394,0.225932,0.589071,0.216339,0.671768,0.203955,0.741547,0.207093,0.419199,0.199494,0.490843,0.248556,0.420727,0.279545,0.363428,0.177679,0.352488,0,0,0.194464,0.399236,0.235464,0.355905,0.333775,1
5,'2025/11/15 19:21:56:652',1,0.267837,0.190236,0.331009,0.24786,0.349814,0.329865,0.39438,0.284929,0.411719,0.296944,0.473767,0.311674,0.583001,0.318991,0.649552,0.32083,0.712176,0.245308,0.462815,0.223451,0.588366,0.213803,0.670896,0.201125,0.740782,0.205436,0.417911,0.197953,0.488423,0.246189,0.417414,0.275752,0.360151,0.176523,0.350898,0,0,0.191733,0.400716,0.232164,0.357602,0.334381,1
6,'2025/11/15 19:21:56:664',1,0.264778,0.191005,0.329986,0.248749,0.350315,0.326792,0.396665,0.279576,0.413208,0.298225,0.471801,0.310923,0.583263,0.316754,0.650536,0.316831,0.71333,0.246298,0.460671,0.224084,0.586917,0.213321,0.670487,0.199666,0.740601,0.206164,0.415927,0.196968,0.492039,0.244574,0.42009,0.273423,0.361674,0.17681,0.348934,0,0,0.19132,0.404051,0.232203,0.361198,0.334841,1
7,'2025/11/15 19:21:56:722',1,0.265503,0.190903,0.331259,0.245646,0.352825,0.330141,0.394044,0.285531,0.411886,0.29677,0.473597,0.310805,0.584067,0.317539,0.651108,0.319204,0.713259,0.244719,0.461619,0.223098,0.588644,0.213483,0.671489,0.200342,0.740394,0.204828,0.41698,0.198503,0.489565,0.246574,0.419159,0.27545,0.361687,0.175797,0.350262,0,0,0.192842,0.401643,0.233232,0.359012,0.333685,1
8,'2025/11/15 19:21:56:730',1,0.267771,0.190996,0.33208,0.247279,0.353446,0.329676,0.397604,0.284062,0.411456,0.300045,0.471823,0.313444,0.582909,0.319025,0.650007,0.31948,0.713117,0.247362,0.460548,0.22515,0.587137,0.214444,0.670712,0.200932,0.740911,0.207231,0.415712,0.199339,0.490071,0.247534,0.418082,0.277266,0.359835,0.178367,0.348852,0,0,0.194254,0.400665,0.235168,0.356575,0.335268,1
9,'2025/11/15 19:21:56:764',1,0.267212,0.190303,0.333461,0.244654,0.354476,0.331268,0.394605,0.285401,0.407792,0.301382,0.470784,0.315827,0.582396,0.321801,0.649472,0.322382,0.711773,0.249002,0.460597,0.226184,0.587303,0.21651,0.670112,0.203198,0.739398,0.20859,0.416671,0.200778,0.49164,0.24925,0.418764,0.27849,0.35997,0.17905,0.350518,0,0,0.196746,0.40028,0.237614,0.35606,0.333086,1
10,'2025/11/15 19:21:56:832',1,0.268183,0.190225,0.334652,0.242769,0.357755,0.333626,0.393351,0.287032,0.409137,0.302851,0.472121,0.317277,0.582206,0.324151,0.648856,0.325602,0.71058,0.25022,0.461757,0.227631,0.587498,0.218178,0.669254,0.205262,0.738338,0.209956,0.417742,0.202491,0.488397,0.249904,0.418063,0.278603,0.360574,0.180205,0.351751,0,0,0.197804,0.398574,0.238566,0.35599,0.330688,1
11,'2025/11/15 19:21:56:837',1,0.270356,0.192055,0.33596,0.243889,0.358746,0.335077,0.390274,0.287682,0.40858,0.30438,0.472745,0.318126,0.583197,0.324447,0.649679,0.325959,0.712093,0.25158,0.46184,0.228358,0.587392,0.218549,0.668826,0.205738,0.737976,0.21191,0.417764,0.202562,0.488046,0.250757,0.416964,0.280675,0.360171,0.18213,0.350269,0,0,0.19773,0.398198,0.238468,0.355034,0.32815,1
12,'2025/11/15 19:21:56:892',1,0.271236,0.190185,0.337008,0.243514,0.359391,0.334377,0.389577,0.286827,0.4071,0.305071,0.47193,0.318867,0.583585,0.325607,0.65055,0.327256,0.713074,0.252345,0.461022,0.229508,0.586665,0.219115,0.668891,0.205783,0.738593,0.212642,0.416686,0.203836,0.486252,0.251174,0.415837,0.280147,0.35888,0.183184,0.349113,0,0,0.197779,0.399282,0.238474,0.356275,0.328857,1
